niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
5e,Garçon,0,0,3,0,2,2,1,2,[],[],[],"['emplois', 'temps', 'santé', 'mentale']",[],[],[],[],1
4e,Garçon,2,2,3,2,1,2,2,3,"['communication', 'patience']","['MUN', 'MUN']","['salle de classe', 'recré']","['communication', 'respect']","['voyage scolaire', 'sorties', 'projet pédagogique']",[],"['salle de classe', 'récréation']",[],2
6e,Fille,1,2,3,3,1,1,1,1,"['calme', 'dialogue', 'compréhension']","['art et culture', 'environnement et solidarité', ""vie de l'établissement""]",['aucun'],"['emploi', 'évaluation', 'professeurs']",['début de la 6ème'],"['cm1', 'cm2']","['résidence', 'cantine']","['classe', 'récréation']",2
5e,Garçon,2,2,2,0,1,1,1,2,['aucun'],[],[],"['cantine', 'couleur']","['amis', 'famille']","['examens', 'stress']",['la cour'],['devoirs'],3
5e,Garçon,2,2,2,0,2,2,0,2,[],[],[],[],[],['évaluation'],[],['salle de classe'],3
6e,Garçon,2,1,2,0,1,2,1,2,[],['environnement et solidarité'],[],['horaires'],['la cour'],['salle de détente'],[],[],3
6e,Fille,3,3,3,2,2,2,2,2,[],"['sport', 'sport', ""vie de l'établissement"", 'sport', 'sport']","['la cour', 'classe']","['cantine', 'bruit', 'propreté', 'organisation']",['la cour'],['interroger'],['ccc'],['cantine'],0
4e,Garçon,2,1,2,2,1,1,1,2,[],['projet pédagogiques'],[],['emploi du temps'],[],[],[],[],2
4e,Garçon,3,1,2,2,1,1,2,2,"['écoute', 'compréhension', 'non-jugement']",['sport'],['aucun'],['horaires'],['activités ludiques'],[],['terrains'],['salle de classe'],2
6e,Garçon,2,1,3,0,3,2,0,3,[],[],"['salle de classe', 'la cour', 'cantine']","['téléphone', 'climatisation', 'chauffage']","['amis', 'rigolons']",[],['la cour'],['salle de classe'],3
5e,Fille,2,2,3,2,1,1,0,3,[],[],['conseil de classe'],"['surveillant', 'langues', 'sociabilisation']",[],[],['ccc'],['permanence'],2
